,Biotin Condition,Class,score
SLX-21561.i718_i510,HI_Control,EPCR PE PE-A,9.693383614729722
SLX-21561.i718_i513,LO_Infected,EPCR PE PE-A,7.277247726631484
SLX-21561.i718_i515,LO_Infected,EPCR PE PE-A,6.994849985833071
SLX-21561.i718_i516,LO_Infected,EPCR PE PE-A,6.553933404025811
SLX-21561.i718_i517,LO_Infected,EPCR PE PE-A,5.771441123130016
SLX-21561.i718_i518,HI_Infected,EPCR PE PE-A,10.483913863031955
SLX-21561.i719_i513,HI_Infected,EPCR PE PE-A,6.403574197934815
SLX-21561.i719_i515,LO_Infected,EPCR PE PE-A,4.465908118654584
SLX-21561.i719_i516,HI_Infected,EPCR PE PE-A,9.275097619191461
SLX-21561.i719_i517,LO_Infected,EPCR PE PE-A,5.407171771460119
SLX-21561.i719_i518,HI_Infected,EPCR PE PE-A,8.099857910737585
SLX-21561.i720_i506,HI_Control,EPCR PE PE-A,5.877735781779639
SLX-21561.i720_i513,HI_Infected,EPCR PE PE-A,8.879611609982035
SLX-21561.i720_i515,HI_Infected,EPCR PE PE-A,8.842315546841863
SLX-21561.i720_i516,HI_Infected,EPCR PE PE-A,6.3578422665081
SLX-21561.i720_i517,LO_Infected,EPCR PE PE-A,6.1675164908883415
SLX-21561.i721_i513,HI_Infected,EPCR PE PE-A,8.181160858023409
SLX-21561.i721_i515,HI_Infected,EPCR PE PE-A,8.400659375160286
SLX-21561.i721_i516,LO_Infected,EPCR PE PE-A,8.766550149546351
SLX-21561.i721_i517,LO_Infected,EPCR PE PE-A,7.7823903355874595
SLX-21561.i721_i520,HI_Control,EPCR PE PE-A,5.4638318050256105
SLX-21561.i722_i510,HI_Control,EPCR PE PE-A,4.394449154672439
SLX-21561.i722_i513,HI_Infected,EPCR PE PE-A,7.993619994827744
SLX-21561.i722_i515,HI_Infected,EPCR PE PE-A,9.157572306437528
SLX-21561.i722_i516,LO_Infected,EPCR PE PE-A,4.867534450455582
SLX-21561.i722_i517,LO_Infected,EPCR PE PE-A,8.967631665167133
SLX-21561.i722_i518,LO_Infected,EPCR PE PE-A,8.295049140435111
SLX-21561.i722_i520,HI_Control,EPCR PE PE-A,6.267200548541362
SLX-21561.i723_i505,LO_Infected,EPCR PE PE-A,6.12029741895095
SLX-21561.i723_i508,HI_Control,EPCR PE PE-A,9.448569560708433
SLX-21561.i723_i515,LO_Infected,EPCR PE PE-A,5.720311776607412
SLX-21561.i723_i516,HI_Infected,EPCR PE PE-A,6.779921907472252
SLX-21561.i723_i518,HI_Infected,EPCR PE PE-A,10.429103261774754
SLX-21561.i723_i520,HI_Control,EPCR PE PE-A,6.799055862058796
SLX-21561.i724_i503,HI_Infected,EPCR PE PE-A,9.730977703126166
SLX-21561.i724_i508,HI_Control,EPCR PE PE-A,7.434847875211999
SLX-21561.i724_i511,HI_Infected,EPCR PE PE-A,8.604471199523298
SLX-21561.i724_i515,HI_Infected,EPCR PE PE-A,8.700680734850161
SLX-21561.i724_i516,HI_Infected,EPCR PE PE-A,8.069029328774958
SLX-21561.i724_i517,HI_Infected,EPCR PE PE-A,8.613593685702552
